X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8844978.167,5414565.965,72,GO-2005733656,2005/02/11 05:00:00+00,2005,February,11,Friday,42,D12,Other,91,Weston-Pelham Park,91,Weston-Pellam Park (91),-79.45579075,43.67033026
-8859741.014,5427598.687,73,GO-2005736672,2005/02/12 05:00:00+00,2005,February,12,Saturday,43,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.58840766,43.75495372
-8825660.155,5429827.737,74,GO-2005768554,2005/02/15 05:00:00+00,2005,February,15,Tuesday,46,D41,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822541,43.76941531
-8835848.136,5414097.952,75,GO-2005918414,2005/02/15 05:00:00+00,2005,February,15,Tuesday,46,D51,Shooting,74,North St.James Town,74,North St.James Town (74),-79.37377428,43.66728915
-8848994.424,5405789.833,76,GO-2005929672,2005/02/18 05:00:00+00,2005,February,18,Friday,49,D22,Other,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),-79.4918694,43.61327817
-8843893.865,5432371.068,77,GO-2005969241,2005/02/28 05:00:00+00,2005,February,28,Monday,59,D32,Shooting,36,Newtonbrook West,36,Newtonbrook West (36),-79.4460503,43.78591163
-8833903.11,5425444.704,78,GO-2005953786,2005/03/05 05:00:00+00,2005,March,5,Saturday,64,D33,Shooting,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.35630182,43.74097582
-8849702.547,5407425.173,79,GO-2005745939,2005/03/11 05:00:00+00,2005,March,11,Friday,70,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.49823058,43.62391333
-8836471.181,5413263.954,80,GO-2005758352,2005/03/25 05:00:00+00,2005,March,25,Friday,84,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.37937119,43.66186954
-8825549.02,5416871.087,81,GO-2005884190,2005/04/13 04:00:00+00,2005,April,13,Wednesday,103,D41,Shooting,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),-79.28125575,43.68530647
-8842778.83,5409464.048,82,GO-20051052948,2005/04/18 04:00:00+00,2005,April,18,Monday,108,D11,Shooting,85,South Parkdale,85,South Parkdale (85),-79.43603377,43.63717019
-8836987.005,5410266.144,83,GO-20051006774,2005/04/19 04:00:00+00,2005,April,19,Tuesday,109,D52,Other,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.38400492,43.64238465
-8855797.194,5427056.144,84,GO-2005739652,2005/04/24 04:00:00+00,2005,April,24,Sunday,114,D31,Shooting,21,Humber Summit,21,Humber Summit (21),-79.55297972,43.75143328
-8825481.28,5435537.721,85,GO-2005736140,2005/05/04 04:00:00+00,2005,May,4,Wednesday,124,D42,Stabbing,129,Agincourt North,129,Agincourt North (129),-79.28064724,43.80644451
-8842704.068,5412957.442,86,GO-2005739574,2005/05/05 04:00:00+00,2005,May,5,Thursday,125,D14,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.43536217,43.65987759
-8851608.681,5427637.778,87,GO-2005737037,2005/05/05 04:00:00+00,2005,May,5,Thursday,125,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.51535367,43.75520736
-8832286.002,5415986.718,88,GO-2005756176,2005/05/08 04:00:00+00,2005,May,8,Sunday,128,D54,Shooting,66,Danforth,66,Danforth (66),-79.34177509,43.67956123
-8836723.148,5414109.902,89,GO-20051001532,2005/05/14 04:00:00+00,2005,May,14,Saturday,134,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.38163465,43.66736681
-8821586.829,5431865.477,90,GO-2005863844,2005/05/15 04:00:00+00,2005,May,15,Sunday,135,D41,Shooting,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),-79.24566279,43.78263267
